Date,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SonTeamResult,SonTeamScore,OpponentTeamScore,Home_1_Away_0,Points_Won,Day,Touches,Press,Tkl,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,Prog,Prog.1,Elo,Elo_Opp,Elo_Diff
2013-09-17,Champions League,Group stage,Away,L 2–4,Leverkusen,Manchester Utd,Y,,64,0,,0,,,,1,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1837,1911,-74
2013-09-28,Bundesliga,7,Home,W 2–0,Leverkusen,Hannover 96,1,,83,0,,0,,,,0,0,,,,,,,0,,,W,2.0,0.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,1840,1730,110
2013-10-02,Champions League,Group stage,Home,W 2–1,Leverkusen,Real Sociedad,Y,,68,0,,0,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1849,1785,64
2013-10-05,Bundesliga,8,Home,D 1–1,Leverkusen,Bayern Munich,0,,22,0,,0,,,,0,0,,,,,,,0,,,D,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1858,2083,-225
2013-10-23,Champions League,Group stage,Home,W 4–0,Leverkusen,Shakhtar,Y,,71,0,,0,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1866,1801,65
2013-10-26,Bundesliga,10,Home,W 2–1,Leverkusen,Augsburg,1,,69,0,,0,,,,0,0,,,,,,,0,,,W,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,1879,1656,223
2013-11-05,Champions League,Group stage,Away,D 0–0,Leverkusen,Shakhtar,Y,,77,0,,0,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1867,1769,98
2013-11-09,Bundesliga,12,Home,W 5–3,Leverkusen,Hamburger SV,1,,90,3,,0,,,,0,0,,,,,,,0,,,W,5.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,1855,1687,168
2013-11-23,Bundesliga,13,Away,W 1–0,Leverkusen,Hertha BSC,1,,72,0,,0,,,,0,0,,,,,,,0,,,W,1.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,1859,1701,158
2013-11-27,Champions League,Group stage,Home,L 0–5,Leverkusen,Manchester Utd,Y,,70,0,,0,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1866,1913,-47
2013-11-30,Bundesliga,14,Home,W 3–0,Leverkusen,Nürnberg,1,,78,2,,0,,,,0,0,,,,,,,0,,,W,3.0,0.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,1846,1649,197
2013-12-07,Bundesliga,15,Away,W 1–0,Leverkusen,Dortmund,1,,82,1,,0,,,,0,0,,,,,,,0,,,W,1.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,1851,1927,-76
2013-12-10,Champions League,Group stage,Away,W 1–0,Leverkusen,Real Sociedad,Y,,90,0,,0,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1862,1780,82
2013-12-15,Bundesliga,16,Home,L 0–1,Leverkusen,Eint Frankfurt,1,,90,0,,0,,,,0,0,,,,,,,0,,,L,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1868,1671,197
2013-12-21,Bundesliga,17,Away,L 0–1,Leverkusen,Werder Bremen,1,,66,0,,0,,,,0,0,,,,,,,0,,,L,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1855,1628,227
2014-01-25,Bundesliga,18,Away,L 2–3,Leverkusen,Freiburg,1,,83,0,,0,,,,0,0,,,,,,,0,,,L,2.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1842,1655,187
2014-02-01,Bundesliga,19,Home,W 2–1,Leverkusen,Stuttgart,1,,75,0,,0,,,,0,0,,,,,,,0,,,W,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,1831,1657,174
2014-02-07,Bundesliga,20,Away,W 1–0,Leverkusen,M'Gladbach,1,,81,1,,0,,,,0,0,,,,,,,0,,,W,1.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,1834,1768,66
2014-02-15,Bundesliga,21,Home,L 1–2,Leverkusen,Schalke 04,1,,82,0,,0,,,,0,0,,,,,,,0,,,L,1.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1841,1809,32
2014-02-18,Champions League,Round of 16,Home,L 0–4,Leverkusen,Paris S-G,Y,,46,0,,0,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1831,1834,-3
2014-02-22,Bundesliga,22,Away,L 1–3,Leverkusen,Wolfsburg,0,,29,0,,0,,,,0,0,,,,,,,0,,,L,1.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1808,1754,54
2014-03-01,Bundesliga,23,Home,L 0–1,Leverkusen,Mainz 05,1,,90,0,,0,,,,1,0,,,,,,,0,,,L,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1794,1708,86
